game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,FUMBLES,FUMBLES_LOST,FF,FR,FR_YDS,FR_TD,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,INT,INT_YDS,INT_TD,INT_LONG,PD,FGA,FGM,FG%,FG_LONG,XPA,XPM,XP%,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,PR,PR_YDS,PR_AVG,PR_TD,PR_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
28143,2022年05月29日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,東京ガスクリエイターズ,tokyogas,IBM BIG BLUE,ibm,7,30,-23,L,,,中井 愛寿希,10.0,17.0,0.5882,71.0,4.176,0,,18.0,,,,8.0,-27.0,-3.375,1.0,5.0,,,,,,,,1,1,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143,2022年05月29日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,東京ガスクリエイターズ,tokyogas,IBM BIG BLUE,ibm,7,30,-23,L,,,若林 駿太,2.0,7.0,0.2857,9.0,1.286,0,,5.0,,,,6.0,30.0,5.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143,2022年05月29日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,IBM BIG BLUE,ibm,東京ガスクリエイターズ,tokyogas,30,7,23,W,,,政本 悠紀,11.0,16.0,0.6875,159.0,9.938,2,,33.0,,,,1.0,8.0,8.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143,2022年05月29日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,IBM BIG BLUE,ibm,東京ガスクリエイターズ,tokyogas,30,7,23,W,,,馬島 臨太郎,8.0,16.0,0.5,82.0,5.125,0,,18.0,,,,4.0,16.0,4.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143,2022年05月29日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,東京ガスクリエイターズ,tokyogas,IBM BIG BLUE,ibm,7,30,-23,L,,,菅原 涼真,,,,,,,,,,,,6.0,19.0,3.167,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143,2022年05月29日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,東京ガスクリエイターズ,tokyogas,IBM BIG BLUE,ibm,7,30,-23,L,,,林 裕嗣,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,5.0,22.0,4.4,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.0,11.0,,,2.0,54.0,27.0,,
28143,2022年05月29日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,東京ガスクリエイターズ,tokyogas,IBM BIG BLUE,ibm,7,30,-23,L,,,小泉 亜斗夢,,,,,,,,,,,,7.0,22.0,3.143,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143,2022年05月29日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,東京ガスクリエイターズ,tokyogas,IBM BIG BLUE,ibm,7,30,-23,L,,,成田 翔太,,,,,,,,,,,,6.0,33.0,5.5,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143,2022年05月29日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,東京ガスクリエイターズ,tokyogas,IBM BIG BLUE,ibm,7,30,-23,L,,,丸山 哲央,,,,,,,,,,,,3.0,8.0,2.667,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143,2022年05月29日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,IBM BIG BLUE,ibm,東京ガスクリエイターズ,tokyogas,30,7,23,W,,,鈴木 恵多,,,,,,,,,,,,8.0,26.0,3.25,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143,2022年05月29日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,IBM BIG BLUE,ibm,東京ガスクリエイターズ,tokyogas,30,7,23,W,,,遠藤 集,,,,,,,,,,,,11.0,80.0,7.273,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,23.0,23.0,,
28143,2022年05月29日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,IBM BIG BLUE,ibm,東京ガスクリエイターズ,tokyogas,30,7,23,W,,,石川 悠介,,,,,,,,,,,,5.0,34.0,6.8,0.0,19.0,,1.0,15.0,15.0,0.0,15.0,,1,1,,0.0,0.0,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143,2022年05月29日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,東京ガスクリエイターズ,tokyogas,IBM BIG BLUE,ibm,7,30,-23,L,,,髙岡 優,,,,,,,,,,,,,,,,,,1.0,8.0,8.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143,2022年05月29日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,東京ガスクリエイターズ,tokyogas,IBM BIG BLUE,ibm,7,30,-23,L,,,山下 喜史,,,,,,,,,,,,,,,,,,2.0,13.0,6.5,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,5.0,,,,,,,
28143,2022年05月29日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,東京ガスクリエイターズ,tokyogas,IBM BIG BLUE,ibm,7,30,-23,L,,,伊津野 文人,,,,,,,,,,,,,,,,,,1.0,7.0,7.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143,2022年05月29日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,東京ガスクリエイターズ,tokyogas,IBM BIG BLUE,ibm,7,30,-23,L,,,鈴木 翔太,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
