game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,INT,INT_YDS,INT_TD,INT_LONG,PD,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,PR,PR_YDS,PR_AVG,PR_TD,PR_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,時崎　達弘,18.0,40.0,0.45,154.0,3.85,1,,19.0,,,,9.0,-16.0,-1.778,0.0,6.0,,,,,,,,2,,,0,0.0,,,,,,,,3.0,98.0,32.667,78.0,26.0,,,39.0,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,BULLSフットボールクラブ,bulls,74,14,60,W,,,石井 僚介,18.0,24.0,0.75,337.0,14.042,5,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,BULLSフットボールクラブ,bulls,74,14,60,W,,,大和田 昌太郎,6.0,7.0,0.8571,127.0,18.143,2,,41.0,,,,1.0,-5.0,-5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,山形　周平,,,,,,,,,,,,6.0,-2.0,-0.333,0.0,4.0,,1.0,7.0,7.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,井上 耀介,,,,,,,,,,,,6.0,-3.0,-0.5,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,八代 周,,,,,,,,,,,,1.0,-6.0,-6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,252.0,31.5,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,BULLSフットボールクラブ,bulls,74,14,60,W,,,井上 翔太,,,,,,,,,,,,1.0,3.0,3.0,0.0,3.0,,1.0,15.0,15.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,2.0,20.0,10.0,,,2.0,55.0,27.5,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,BULLSフットボールクラブ,bulls,74,14,60,W,,,杉田 有毅,,,,,,,,,,,,8.0,9.0,1.125,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,BULLSフットボールクラブ,bulls,74,14,60,W,,,松下 堅一郎,,,,,,,,,,,,7.0,8.0,1.143,1.0,5.0,,,,,,,,2,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,BULLSフットボールクラブ,bulls,74,14,60,W,,,徳永  一輝,,,,,,,,,,,,7.0,84.0,12.0,0.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,黒木 優人,,,,,,,,,,,,,,,,,,5.0,50.0,10.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,加藤 広海,,,,,,,,,,,,,,,,,,1.0,7.0,7.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,山口 良平,,,,,,,,,,,,,,,,,,1.0,13.0,13.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,藤倉　奎悟,,,,,,,,,,,,,,,,,,3.0,19.0,6.333333333333333,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,金森　寛隼,,,,,,,,,,,,,,,,,,1.0,10.0,10.0,0.0,10.0,,0.5,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,大西 悠斗,,,,,,,,,,,,,,,,,,3.0,30.0,10.0,0.0,19.0,,1,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,柴田 遼太,,,,,,,,,,,,,,,,,,3.0,18.0,6.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,BULLSフットボールクラブ,bulls,74,14,60,W,,,小川 悠樹,,,,,,,,,,,,,,,,,,6.0,83.0,13.833333333333334,2.0,39.0,,,,,,,,,,,,,,1.0,23.0,23.0,23.0,23.0,,,23.0,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,BULLSフットボールクラブ,bulls,74,14,60,W,,,前田 直輝,,,,,,,,,,,,,,,,,,4.0,126.0,31.5,3.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,44.0,44.0,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,BULLSフットボールクラブ,bulls,74,14,60,W,,,田邊 翔一,,,,,,,,,,,,,,,,,,3.0,46.0,15.333333333333334,1.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,BULLSフットボールクラブ,bulls,74,14,60,W,,,南河 竜成,,,,,,,,,,,,,,,,,,2.0,84.0,42.0,1.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,BULLSフットボールクラブ,bulls,74,14,60,W,,,石毛 聡士,,,,,,,,,,,,,,,,,,3.0,53.0,17.666666666666668,0.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,BULLSフットボールクラブ,bulls,74,14,60,W,,,井田 陽,,,,,,,,,,,,,,,,,,3.0,26.0,8.666666666666666,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,BULLSフットボールクラブ,bulls,74,14,60,W,,,鈴木 謙人,,,,,,,,,,,,,,,,,,2.0,31.0,15.5,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,菊地 駿介,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,櫻井 真吾,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,本間　将太,,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,小野 真稔,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,池田 哲生,,,,,,,,,,,,,,,,,,,,,,,,4,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,志戸摩　朋宏,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9072,2020年11月03日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,胎内ディアーズ,deers,14,74,-60,L,,,森 光弘,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
