game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,INT,INT_YDS,INT_TD,INT_LONG,PD,FGA,FGM,FG%,FG_LONG,XPA,XPM,XP%,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,PR,PR_YDS,PR_AVG,PR_TD,PR_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
15882,2021年10月17日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,東京ガスクリエイターズ,tokyogas,オービックシーガルズ,obic,0,23,-23,L,,,Evans Jerod,12.0,26.0,0.4615,160.0,6.154,0,,41.0,,,,11.0,-11.0,-1.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15882,2021年10月17日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,オービックシーガルズ,obic,東京ガスクリエイターズ,tokyogas,23,0,23,W,,,Jimmy Laughrea,11.0,20.0,0.55,151.0,7.55,1,,35.0,,,,3.0,30.0,10.0,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15882,2021年10月17日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,東京ガスクリエイターズ,tokyogas,オービックシーガルズ,obic,0,23,-23,L,,,沼田 将吾,,,,,,,,,,,,6.0,19.0,3.167,0.0,8.0,,1.0,7.0,7.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15882,2021年10月17日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,東京ガスクリエイターズ,tokyogas,オービックシーガルズ,obic,0,23,-23,L,,,Draper Sean,,,,,,,,,,,,2.0,9.0,4.5,0.0,5.0,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,
15882,2021年10月17日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,東京ガスクリエイターズ,tokyogas,オービックシーガルズ,obic,0,23,-23,L,,,小泉 亜斗夢,,,,,,,,,,,,5.0,9.0,1.8,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15882,2021年10月17日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,オービックシーガルズ,obic,東京ガスクリエイターズ,tokyogas,23,0,23,W,,,地村 知樹,,,,,,,,,,,,11.0,62.0,5.636,0.0,14.0,,1.0,8.0,8.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15882,2021年10月17日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,オービックシーガルズ,obic,東京ガスクリエイターズ,tokyogas,23,0,23,W,,,川上 理宇,,,,,,,,,,,,2.0,1.0,0.5,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15882,2021年10月17日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,オービックシーガルズ,obic,東京ガスクリエイターズ,tokyogas,23,0,23,W,,,荒竹 悠大,,,,,,,,,,,,10.0,51.0,5.1,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15882,2021年10月17日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,オービックシーガルズ,obic,東京ガスクリエイターズ,tokyogas,23,0,23,W,,,望月 麻樹,,,,,,,,,,,,8.0,38.0,4.75,1.0,12.0,,1.0,8.0,8.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15882,2021年10月17日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,東京ガスクリエイターズ,tokyogas,オービックシーガルズ,obic,0,23,-23,L,,,Agude Nnamdi,,,,,,,,,,,,,,,,,,4.0,33.0,8.25,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
