game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,FUMBLES,FUMBLES_LOST,FF,FR,FR_YDS,FR_TD,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,INT,INT_YDS,INT_TD,INT_LONG,PD,FGA,FGM,FG%,FG_LONG,XPA,XPM,XP%,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,PR,PR_YDS,PR_AVG,PR_TD,PR_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
143,2019年08月24日 15:30:00,@MKタクシーフィールドエキスポ＊下がホームチーム,ノジマ相模原ライズ,rise,パナソニック インパルス,impulse,0,24,-24,L,,,ジミー ロックレイ,13.0,36.0,0.3611,122.0,3.389,0.0,,32.0,,,,12.0,42.0,3.5,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2019年08月24日 15:30:00,@MKタクシーフィールドエキスポ＊下がホームチーム,ノジマ相模原ライズ,rise,パナソニック インパルス,impulse,0,24,-24,L,,,小林 貴紀,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,2.0,-13.0,-6.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2019年08月24日 15:30:00,@MKタクシーフィールドエキスポ＊下がホームチーム,ノジマ相模原ライズ,rise,パナソニック インパルス,impulse,0,24,-24,L,,,ジョーンズ クエンティン,1.0,1.0,1.0,11.0,11.0,0.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,
143,2019年08月24日 15:30:00,@MKタクシーフィールドエキスポ＊下がホームチーム,パナソニック インパルス,impulse,ノジマ相模原ライズ,rise,24,0,24,W,,,アンソニー ロウレンス,12.0,21.0,0.5714,126.0,6.0,0.0,,44.0,,,,4.0,-1.0,-0.25,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2019年08月24日 15:30:00,@MKタクシーフィールドエキスポ＊下がホームチーム,パナソニック インパルス,impulse,ノジマ相模原ライズ,rise,24,0,24,W,,,木戸 崇斗,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,1.0,3.0,3.0,0.0,3.0,,1,0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2019年08月24日 15:30:00,@MKタクシーフィールドエキスポ＊下がホームチーム,ノジマ相模原ライズ,rise,パナソニック インパルス,impulse,0,24,-24,L,,,宮幸 崇,,,,,,,,,,,,11.0,43.0,3.909,0.0,15.0,,2.0,10.0,5.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2019年08月24日 15:30:00,@MKタクシーフィールドエキスポ＊下がホームチーム,ノジマ相模原ライズ,rise,パナソニック インパルス,impulse,0,24,-24,L,,,東松 瑛介,,,,,,,,,,,,2.0,3.0,1.5,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2019年08月24日 15:30:00,@MKタクシーフィールドエキスポ＊下がホームチーム,パナソニック インパルス,impulse,ノジマ相模原ライズ,rise,24,0,24,W,,,ミッチェル・ビクタージャモー,,,,,,,,,,,,13.0,127.0,9.769,0.0,29.0,,2.0,25.0,12.5,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.5,,,,,,,
143,2019年08月24日 15:30:00,@MKタクシーフィールドエキスポ＊下がホームチーム,パナソニック インパルス,impulse,ノジマ相模原ライズ,rise,24,0,24,W,,,ダニエル ワイズ,,,,,,,,,,,,1.0,24.0,24.0,1.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,21.0,10.5,,,1.0,20.0,20.0,,
143,2019年08月24日 15:30:00,@MKタクシーフィールドエキスポ＊下がホームチーム,パナソニック インパルス,impulse,ノジマ相模原ライズ,rise,24,0,24,W,,,藤本 拓弥,,,,,,,,,,,,2.0,18.0,9.0,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2019年08月24日 15:30:00,@MKタクシーフィールドエキスポ＊下がホームチーム,パナソニック インパルス,impulse,ノジマ相模原ライズ,rise,24,0,24,W,,,横田 惇,,,,,,,,,,,,9.0,31.0,3.444,0.0,14.0,,1.0,10.0,10.0,0.0,10.0,,1,1,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2019年08月24日 15:30:00,@MKタクシーフィールドエキスポ＊下がホームチーム,ノジマ相模原ライズ,rise,パナソニック インパルス,impulse,0,24,-24,L,,,リー ハイタワー,,,,,,,,,,,,,,,,,,1.0,11.0,11.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2019年08月24日 15:30:00,@MKタクシーフィールドエキスポ＊下がホームチーム,ノジマ相模原ライズ,rise,パナソニック インパルス,impulse,0,24,-24,L,,,加藤 雄哉,,,,,,,,,,,,,,,,,,1.0,32.0,32.0,0.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2019年08月24日 15:30:00,@MKタクシーフィールドエキスポ＊下がホームチーム,ノジマ相模原ライズ,rise,パナソニック インパルス,impulse,0,24,-24,L,,,出島 崇秀,,,,,,,,,,,,,,,,,,1.0,5.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,2.0,,,,,,,
143,2019年08月24日 15:30:00,@MKタクシーフィールドエキスポ＊下がホームチーム,ノジマ相模原ライズ,rise,パナソニック インパルス,impulse,0,24,-24,L,,,伊藤 雅恭,,,,,,,,,,,,,,,,,,2.0,12.0,6.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,
