game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,INT,INT_YDS,INT_TD,INT_LONG,PD,FGA,FGM,FG%,FG_LONG,XPA,XPM,XP%,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,PR,PR_YDS,PR_AVG,PR_TD,PR_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,品川CC ブルザイズ,bullseyes,PentaOceanパイレーツ,pirates,0,18,-18,L,,,林田 祐磨,8.0,26.0,0.3077,69.0,2.654,0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,品川CC ブルザイズ,bullseyes,PentaOceanパイレーツ,pirates,0,18,-18,L,,,中山 久志,1.0,1.0,1.0,8.0,8.0,0,,8.0,,,,9.0,54.0,6.0,0.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,品川CC ブルザイズ,bullseyes,18,0,18,W,,,西澤 凌介,6.0,17.0,0.3529,74.0,4.353,1,,50.0,,,,4.0,17.0,4.25,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,品川CC ブルザイズ,bullseyes,18,0,18,W,,,川島 渚,2.0,3.0,0.6667,17.0,5.667,0,,13.0,,,,7.0,23.0,3.286,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,品川CC ブルザイズ,bullseyes,PentaOceanパイレーツ,pirates,0,18,-18,L,,,鈴木 尋為,,,,,,,,,,,,4.0,2.0,0.5,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,品川CC ブルザイズ,bullseyes,PentaOceanパイレーツ,pirates,0,18,-18,L,,,タイロン ジョーンズ,,,,,,,,,,,,8.0,16.0,2.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,49.0,49.0,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,品川CC ブルザイズ,bullseyes,PentaOceanパイレーツ,pirates,0,18,-18,L,,,鈴木 大生,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,,1.0,2.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,品川CC ブルザイズ,bullseyes,PentaOceanパイレーツ,pirates,0,18,-18,L,,,金子 泰徳,,,,,,,,,,,,5.0,7.0,1.4,0.0,6.0,,1.0,-3.0,-3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13.0,13.0,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,品川CC ブルザイズ,bullseyes,PentaOceanパイレーツ,pirates,0,18,-18,L,,,山本 洸次郎,,,,,,,,,,,,3.0,8.0,2.667,0.0,4.0,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,品川CC ブルザイズ,bullseyes,18,0,18,W,,,高橋 啓,,,,,,,,,,,,1.0,15.0,15.0,0.0,15.0,,1.0,13.0,13.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,2.0,88.0,44.0,88.0,44.0,,,61.0,,,,,,,,,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,品川CC ブルザイズ,bullseyes,18,0,18,W,,,青柳 憲紀,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,品川CC ブルザイズ,bullseyes,18,0,18,W,,,木村 亮,,,,,,,,,,,,4.0,14.0,3.5,0.0,13.0,,1.0,4.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,品川CC ブルザイズ,bullseyes,18,0,18,W,,,若島 慎兵,,,,,,,,,,,,16.0,67.0,4.188,0.0,31.0,,3.0,12.0,4.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-4.0,-2.0,,,2.0,32.0,16.0,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,品川CC ブルザイズ,bullseyes,PentaOceanパイレーツ,pirates,0,18,-18,L,,,鈴木 瑛二,,,,,,,,,,,,,,,,,,4.0,47.0,11.75,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,品川CC ブルザイズ,bullseyes,PentaOceanパイレーツ,pirates,0,18,-18,L,,,海老沼 卓人,,,,,,,,,,,,,,,,,,1.0,6.0,6.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,品川CC ブルザイズ,bullseyes,PentaOceanパイレーツ,pirates,0,18,-18,L,,,草深 大貴,,,,,,,,,,,,,,,,,,2.0,25.0,12.5,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,品川CC ブルザイズ,bullseyes,18,0,18,W,,,炭谷 有亮,,,,,,,,,,,,,,,,,,1.0,7.0,7.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,品川CC ブルザイズ,bullseyes,18,0,18,W,,,田上 将太朗,,,,,,,,,,,,,,,,,,1.0,5.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,品川CC ブルザイズ,bullseyes,18,0,18,W,,,大貫 憲一,,,,,,,,,,,,,,,,,,1.0,50.0,50.0,1.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,品川CC ブルザイズ,bullseyes,PentaOceanパイレーツ,pirates,0,18,-18,L,,,小紫 政輝,,,,,,,,,,,,,,,,,,,,,,,,4,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2019年11月23日 14:00:00,@富士通スタジアム川崎＊下がホームチーム,品川CC ブルザイズ,bullseyes,PentaOceanパイレーツ,pirates,0,18,-18,L,,,除川 豪,,,,,,,,,,,,,,,,,,,,,,,,5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
