game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,INT,INT_YDS,INT_TD,INT_LONG,PD,FGA,FGM,FG%,FG_LONG,XPA,XPM,XP%,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,PR,PR_YDS,PR_AVG,PR_TD,PR_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
30938,2022年10月15日 15:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,三菱商事 Club TRIAX,triax,アズワンブラックイーグルス,blackeagles,0,49,-49,L,,,山際 陽介,10.0,16.0,0.625,80.0,5.0,0,,16.0,,,,7.0,23.0,3.286,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30938,2022年10月15日 15:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,三菱商事 Club TRIAX,triax,アズワンブラックイーグルス,blackeagles,0,49,-49,L,,,中山 文太,4.0,11.0,0.3636,3.0,0.273,0,,2.0,,,,2.0,-6.0,-3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30938,2022年10月15日 15:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,三菱商事 Club TRIAX,triax,49,0,49,W,,,渡邊 貴信,3.0,8.0,0.375,23.0,2.875,1,,16.0,,,,6.0,28.0,4.667,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30938,2022年10月15日 15:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,三菱商事 Club TRIAX,triax,49,0,49,W,,,糟谷 啓二郎,6.0,10.0,0.6,53.0,5.3,3,,13.0,,,,2.0,8.0,4.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30938,2022年10月15日 15:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,三菱商事 Club TRIAX,triax,49,0,49,W,,,田中 萌,0.0,1.0,0.0,0.0,0.0,0,,0.0,,,,3.0,6.0,2.0,1.0,5.0,,1.0,13.0,13.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30938,2022年10月15日 15:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,三菱商事 Club TRIAX,triax,アズワンブラックイーグルス,blackeagles,0,49,-49,L,,,村上 綱亮,,,,,,,,,,,,1.0,-21.0,-21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,inf,0.0,,,,,,,,,,,,,,,,,,,,,
30938,2022年10月15日 15:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,三菱商事 Club TRIAX,triax,アズワンブラックイーグルス,blackeagles,0,49,-49,L,,,髙木 稜,,,,,,,,,,,,7.0,38.0,5.429,0.0,16.0,,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30938,2022年10月15日 15:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,三菱商事 Club TRIAX,triax,アズワンブラックイーグルス,blackeagles,0,49,-49,L,,,伊藤 隆貴,,,,,,,,,,,,8.0,24.0,3.0,0.0,9.0,,3.0,17.0,5.666666666666667,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30938,2022年10月15日 15:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,三菱商事 Club TRIAX,triax,アズワンブラックイーグルス,blackeagles,0,49,-49,L,,,大路 航輝,,,,,,,,,,,,10.0,47.0,4.7,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,46.0,15.333,,
30938,2022年10月15日 15:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,三菱商事 Club TRIAX,triax,アズワンブラックイーグルス,blackeagles,0,49,-49,L,,,岩佐 康平,,,,,,,,,,,,4.0,12.0,3.0,0.0,5.0,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,22.0,22.0,,
30938,2022年10月15日 15:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,三菱商事 Club TRIAX,triax,49,0,49,W,,,柴田 洋平,,,,,,,,,,,,5.0,24.0,4.8,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30938,2022年10月15日 15:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,三菱商事 Club TRIAX,triax,49,0,49,W,,,田中 将,,,,,,,,,,,,2.0,14.0,7.0,0.0,14.0,,1.0,7.0,7.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30938,2022年10月15日 15:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,三菱商事 Club TRIAX,triax,49,0,49,W,,,羽田 健人,,,,,,,,,,,,8.0,78.0,9.75,1.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30938,2022年10月15日 15:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,三菱商事 Club TRIAX,triax,アズワンブラックイーグルス,blackeagles,0,49,-49,L,,,木俣 達郎,,,,,,,,,,,,,,,,,,1.0,-1.0,-1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
