game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,INT,INT_YDS,INT_TD,INT_LONG,PD,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,帆足 梓,12.0,25.0,0.48,95.0,3.8,1,,16.0,,,,6.0,-19.0,-3.167,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,ケダリアス ハンフリーズ,16.0,23.0,0.6957,227.0,9.87,2,,35.0,,,,3.0,10.0,3.333,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,安藤 和馬,8.0,10.0,0.8,85.0,8.5,2,,19.0,,,,1.0,4.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,戸倉 和哉,0.0,1.0,0.0,0.0,0.0,0,,0.0,,,,1.0,0.0,0.0,0.0,0.0,,1.0,9.0,9.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,清水 雄介,,,,,,,,,,,,8.0,49.0,6.125,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,23.0,23.0,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,藤野 晃一郎,,,,,,,,,,,,1.0,2.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,内村 優太,,,,,,,,,,,,10.0,11.0,1.1,0.0,21.0,,1.0,7.0,7.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,1.0,20.0,20.0,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,柳澤 拓弥,,,,,,,,,,,,6.0,28.0,4.667,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,大澤 健太,,,,,,,,,,,,1.0,-2.0,-2.0,0.0,0.0,,1.0,8.0,8.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,谷田 淳,,,,,,,,,,,,1.0,4.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,末廣 克貴,,,,,,,,,,,,1.0,16.0,16.0,0.0,16.0,,2.0,11.0,5.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,ジョナ ホッジス,,,,,,,,,,,,7.0,117.0,16.714,1.0,37.0,,1.0,5.0,5.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,山本 勇仁,,,,,,,,,,,,2.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,三日市 勇太,,,,,,,,,,,,2.0,7.0,3.5,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,川嶌 海里,,,,,,,,,,,,1.0,8.0,8.0,0.0,8.0,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,大渕 康裕,,,,,,,,,,,,,,,,,,5.0,40.0,8.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,奥野 元貴,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,杉浦 賢人,,,,,,,,,,,,,,,,,,1.0,16.0,16.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,杉山 洋平,,,,,,,,,,,,,,,,,,1.0,6.0,6.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,林 紘之介,,,,,,,,,,,,,,,,,,3.0,24.0,8.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,リッジ ジョーンズ,,,,,,,,,,,,,,,,,,2.0,35.0,17.5,1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,小林 一輝,,,,,,,,,,,,,,,,,,1.0,13.0,13.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,小峯 正人,,,,,,,,,,,,,,,,,,2.0,26.0,13.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,1.0,33.0,33.0,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,高橋 広大,,,,,,,,,,,,,,,,,,1.0,8.0,8.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,米井 康真,,,,,,,,,,,,,,,,,,1.0,8.0,8.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,井ノ口 清剛,,,,,,,,,,,,,,,,,,5.0,100.0,20.0,1.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,渡邊 輝,,,,,,,,,,,,,,,,,,1.0,7.0,7.0,0.0,7.0,,2,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,金田 英樹,,,,,,,,,,,,,,,,,,1.0,8.0,8.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,南 賢人,,,,,,,,,,,,,,,,,,4.0,55.0,13.75,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,1.0,27.0,27.0,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,橋詰 泰裕,,,,,,,,,,,,,,,,,,1.0,19.0,19.0,1.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,登石 悠紀,,,,,,,,,,,,,,,,,,,,,,,,4,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,坂井 洋介,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,加藤 将志,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,嵐 右京,,,,,,,,,,,,,,,,,,,,,,,,4,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,嵐 陽向,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,筒井 圭介,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,岩田 昇也,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,髙田 敏司,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,石井 類,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,佐々木 達朗,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,AFCクレーンズ,cranes,アサヒビールシルバースター,silver,7,62,-55,L,,,宮元 勇貴,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,榎本 雄気,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,0,0,,,1,31,0.0,31,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,小林 貴,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,6,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,吉原 直人,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,11,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,秀野 光謙,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,植山 雄太郎,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,手塚 雄斗,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,
201,2019年10月27日 14:00:00,@横浜スタジアム＊下がホームチーム,アサヒビールシルバースター,silver,AFCクレーンズ,cranes,62,7,55,W,,,文原 由裕,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,
