game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,FUMBLES,FUMBLES_LOST,FF,FR,FR_YDS,FR_TD,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,INT,INT_YDS,INT_TD,INT_LONG,PD,FGA,FGM,FG%,FG_LONG,XPA,XPM,XP%,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,PR,PR_YDS,PR_AVG,PR_TD,PR_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
197,2019年10月14日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,警視庁イーグルス,eagles,胎内ディアーズ,deers,0,42,-42,L,,,齋藤 詩伸,11.0,25.0,0.44,102.0,4.08,0,,27.0,,,,5.0,-35.0,-7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2019年10月14日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,警視庁イーグルス,eagles,42,0,42,W,,,加藤 翔平,13.0,17.0,0.7647,177.0,10.412,2,,35.0,,,,1.0,12.0,12.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2019年10月14日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,警視庁イーグルス,eagles,42,0,42,W,,,大和田 昌太郎,3.0,7.0,0.4286,45.0,6.429,0,,23.0,,,,1.0,6.0,6.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2019年10月14日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,警視庁イーグルス,eagles,胎内ディアーズ,deers,0,42,-42,L,,,富澤 友貴,,,,,,,,,,,,10.0,4.0,0.4,0.0,6.0,,1.0,4.0,4.0,0.0,4.0,,1,1,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,29.0,9.667,,
197,2019年10月14日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,警視庁イーグルス,eagles,胎内ディアーズ,deers,0,42,-42,L,,,宮原 亮太,,,,,,,,,,,,2.0,9.0,4.5,0.0,5.0,,2.0,45.0,22.5,0.0,27.0,,,,,,,,1,,,0,0,,,,,,,,0.0,2.0,inf,0.0,,,,,,,,,,,,,,,,,,,,,
197,2019年10月14日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,警視庁イーグルス,eagles,胎内ディアーズ,deers,0,42,-42,L,,,金子 俊章,,,,,,,,,,,,6.0,20.0,3.333,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2019年10月14日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,警視庁イーグルス,eagles,42,0,42,W,,,永川 勝也,,,,,,,,,,,,1.0,7.0,7.0,1.0,7.0,,1.0,12.0,12.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2019年10月14日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,警視庁イーグルス,eagles,42,0,42,W,,,三浦 隼二朗,,,,,,,,,,,,6.0,26.0,4.333,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2019年10月14日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,警視庁イーグルス,eagles,42,0,42,W,,,松下 堅一郎,,,,,,,,,,,,9.0,49.0,5.444,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2019年10月14日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,胎内ディアーズ,deers,警視庁イーグルス,eagles,42,0,42,W,,,徳永 一輝,,,,,,,,,,,,6.0,23.0,3.833,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
