game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,FUMBLES,FUMBLES_LOST,FF,FR,FR_YDS,FR_TD,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,FGA,FGM,FG%,FG_LONG,XPA,XPM,XP%,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,PR,PR_YDS,PR_AVG,PR_TD,PR_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
30952,2022年11月27日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,三菱商事 Club TRIAX,triax,品川CC ブルザイズ,bullseyes,27,20,7,W,,,山際 陽介,15.0,17.0,0.8824,172.0,10.118,1,,60.0,,,,2.0,14.0,7.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30952,2022年11月27日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,三菱商事 Club TRIAX,triax,品川CC ブルザイズ,bullseyes,27,20,7,W,,,松下 嶺,4.0,5.0,0.8,31.0,6.2,0,,17.0,,,,3.0,4.0,1.333,0.0,3.0,,,,,,,,1,1,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30952,2022年11月27日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,品川CC ブルザイズ,bullseyes,三菱商事 Club TRIAX,triax,20,27,-7,L,,,南竹 司,12.0,20.0,0.6,211.0,10.55,3,,36.0,,,,5.0,2.0,0.4,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30952,2022年11月27日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,品川CC ブルザイズ,bullseyes,三菱商事 Club TRIAX,triax,20,27,-7,L,,,高橋 空良,6.0,9.0,0.6667,61.0,6.778,0,,18.0,,,,1.0,-9.0,-9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30952,2022年11月27日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,三菱商事 Club TRIAX,triax,品川CC ブルザイズ,bullseyes,27,20,7,W,,,髙木 稜,,,,,,,,,,,,7.0,20.0,2.857,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30952,2022年11月27日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,三菱商事 Club TRIAX,triax,品川CC ブルザイズ,bullseyes,27,20,7,W,,,伊藤 隆貴,,,,,,,,,,,,13.0,106.0,8.154,2.0,36.0,,1.0,3.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,44.0,22.0,,
30952,2022年11月27日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,三菱商事 Club TRIAX,triax,品川CC ブルザイズ,bullseyes,27,20,7,W,,,大路 航輝,,,,,,,,,,,,12.0,35.0,2.917,0.0,8.0,,1.0,6.0,6.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30952,2022年11月27日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,三菱商事 Club TRIAX,triax,品川CC ブルザイズ,bullseyes,27,20,7,W,,,岩佐 康平,,,,,,,,,,,,2.0,6.0,3.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30952,2022年11月27日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,品川CC ブルザイズ,bullseyes,三菱商事 Club TRIAX,triax,20,27,-7,L,,,新妻 知晃,,,,,,,,,,,,4.0,23.0,5.75,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30952,2022年11月27日 17:00:00,@富士通スタジアム川崎＊下がホームチーム,品川CC ブルザイズ,bullseyes,三菱商事 Club TRIAX,triax,20,27,-7,L,,,砂田 帆司郎,,,,,,,,,,,,3.0,21.0,7.0,0.0,9.0,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
