game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,INT,INT_YDS,INT_TD,INT_LONG,PD,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,PR,PR_YDS,PR_AVG,PR_TD,PR_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,BULLSフットボールクラブ,bulls,アズワンブラックイーグルス,blackeagles,0,28,-28,L,,,時崎　達弘,8.0,22.0,0.3636,67.0,3.045,0,,15.0,,,,14.0,26.0,1.857,0.0,12.0,,,,,,,,,,,,,,,,,,,,1.0,33.0,33.0,33.0,33.0,,,33.0,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,BULLSフットボールクラブ,bulls,28,0,28,W,,,轟木 祐人,16.0,22.0,0.7273,144.0,6.545,2,,23.0,,,,4.0,34.0,8.5,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,BULLSフットボールクラブ,bulls,アズワンブラックイーグルス,blackeagles,0,28,-28,L,,,山形　周平,,,,,,,,,,,,2.0,13.0,6.5,0.0,10.0,,1.0,11.0,11.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,BULLSフットボールクラブ,bulls,アズワンブラックイーグルス,blackeagles,0,28,-28,L,,,菊地 駿介,,,,,,,,,,,,3.0,-5.0,-1.667,0.0,4.0,,2.0,11.0,5.5,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,BULLSフットボールクラブ,bulls,アズワンブラックイーグルス,blackeagles,0,28,-28,L,,,井上 耀介,,,,,,,,,,,,13.0,46.0,3.538,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,BULLSフットボールクラブ,bulls,アズワンブラックイーグルス,blackeagles,0,28,-28,L,,,高橋 直也,,,,,,,,,,,,1.0,4.0,4.0,0.0,4.0,,,,,,,,1.5,,,0,0,,,,,,,,1.0,22.0,22.0,13.0,13.0,,,22.0,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,BULLSフットボールクラブ,bulls,28,0,28,W,,,柴田 洋平,,,,,,,,,,,,2.0,-2.0,-1.0,0.0,0.0,,,,,,,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,1.0,42.0,42.0,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,BULLSフットボールクラブ,bulls,28,0,28,W,,,坂井 佑史郎,,,,,,,,,,,,9.0,44.0,4.889,0.0,13.0,,2.0,13.0,6.5,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,BULLSフットボールクラブ,bulls,28,0,28,W,,,宇田 慎吾,,,,,,,,,,,,1.0,15.0,15.0,0.0,15.0,,1.0,4.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,BULLSフットボールクラブ,bulls,28,0,28,W,,,戸梶 俊成,,,,,,,,,,,,3.0,21.0,7.0,1.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,BULLSフットボールクラブ,bulls,28,0,28,W,,,田中 萌,,,,,,,,,,,,5.0,59.0,11.8,1.0,28.0,,1.0,9.0,9.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,BULLSフットボールクラブ,bulls,アズワンブラックイーグルス,blackeagles,0,28,-28,L,,,近藤 怜,,,,,,,,,,,,,,,,,,1.0,6.0,6.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,BULLSフットボールクラブ,bulls,アズワンブラックイーグルス,blackeagles,0,28,-28,L,,,加藤 広海,,,,,,,,,,,,,,,,,,3.0,24.0,8.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,BULLSフットボールクラブ,bulls,アズワンブラックイーグルス,blackeagles,0,28,-28,L,,,山田 陽平,,,,,,,,,,,,,,,,,,1.0,15.0,15.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,BULLSフットボールクラブ,bulls,28,0,28,W,,,吉田 一貴,,,,,,,,,,,,,,,,,,2.0,25.0,12.5,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,BULLSフットボールクラブ,bulls,28,0,28,W,,,比留間 正純,,,,,,,,,,,,,,,,,,1.0,23.0,23.0,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,BULLSフットボールクラブ,bulls,28,0,28,W,,,木下 敬士,,,,,,,,,,,,,,,,,,3.0,23.0,7.666666666666667,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,BULLSフットボールクラブ,bulls,28,0,28,W,,,吉海 雄大,,,,,,,,,,,,,,,,,,2.0,9.0,4.5,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,BULLSフットボールクラブ,bulls,28,0,28,W,,,城田 尚輝,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,BULLSフットボールクラブ,bulls,28,0,28,W,,,和田 尚也,,,,,,,,,,,,,,,,,,1.0,12.0,12.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,BULLSフットボールクラブ,bulls,28,0,28,W,,,川畑 一輝,,,,,,,,,,,,,,,,,,2.0,22.0,11.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,BULLSフットボールクラブ,bulls,アズワンブラックイーグルス,blackeagles,0,28,-28,L,,,櫻井 真吾,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,BULLSフットボールクラブ,bulls,アズワンブラックイーグルス,blackeagles,0,28,-28,L,,,渡辺 寛,,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
15937,2021年11月20日 14:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,BULLSフットボールクラブ,bulls,アズワンブラックイーグルス,blackeagles,0,28,-28,L,,,二瓶　優,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
