game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,FUMBLES,FUMBLES_LOST,FF,FR,FR_YDS,FR_TD,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,INT,INT_YDS,INT_TD,INT_LONG,PD,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,PR,PR_YDS,PR_AVG,PR_TD,PR_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
15909,2021年09月11日 17:10:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,電通キャタピラーズ,dentsu,7,43,-36,L,,,時崎　達弘,8.0,15.0,0.5333,50.0,3.333,0,,14.0,,,,6.0,17.0,2.833,0.0,17.0,,,,,,,,1,0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15909,2021年09月11日 17:10:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,電通キャタピラーズ,dentsu,7,43,-36,L,,,高澤 聖也,4.0,5.0,0.8,19.0,3.8,0,,8.0,,,,1.0,28.0,28.0,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15909,2021年09月11日 17:10:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,BULLSフットボールクラブ,bulls,43,7,36,W,,,多川 哲史,2.0,3.0,0.6667,27.0,9.0,1,,14.0,,,,5.0,22.0,4.4,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15909,2021年09月11日 17:10:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,BULLSフットボールクラブ,bulls,43,7,36,W,,,柴崎 哲平,13.0,18.0,0.7222,156.0,8.667,2,,28.0,,,,2.0,-9.0,-4.5,0.0,3.0,,,,,,,,1,1,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15909,2021年09月11日 17:10:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,電通キャタピラーズ,dentsu,7,43,-36,L,,,山形　周平,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15909,2021年09月11日 17:10:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,電通キャタピラーズ,dentsu,7,43,-36,L,,,菊地 駿介,,,,,,,,,,,,6.0,14.0,2.333,0.0,6.0,,1.0,6.0,6.0,0.0,6.0,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
15909,2021年09月11日 17:10:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,電通キャタピラーズ,dentsu,7,43,-36,L,,,井上 耀介,,,,,,,,,,,,10.0,103.0,10.3,1.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15909,2021年09月11日 17:10:00,@富士通スタジアム川崎＊下がホームチーム,BULLSフットボールクラブ,bulls,電通キャタピラーズ,dentsu,7,43,-36,L,,,山田 陽平,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,1.0,2.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15909,2021年09月11日 17:10:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,BULLSフットボールクラブ,bulls,43,7,36,W,,,坂梨 陽木,,,,,,,,,,,,6.0,55.0,9.167,1.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15909,2021年09月11日 17:10:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,BULLSフットボールクラブ,bulls,43,7,36,W,,,吉光 太郎,,,,,,,,,,,,8.0,52.0,6.5,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
