game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,FGA,FGM,FG%,FG_LONG,XPA,XPM,XP%,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,PR,PR_YDS,PR_AVG,PR_TD,PR_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,小貫 哲,,,,,,,,,,,,,,,,,,4.0,43.0,10.75,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,36.0,36.0,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,山本 俊太朗,,,,,,,,,,,,,,,,,,1.0,9.0,9.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,大通 広志,,,,,,,,,,,,,,,,,,3.0,29.0,9.666666666666666,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,岸澤 淳之介,,,,,,,,,,,,,,,,,,2.0,22.0,11.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,-4.0,-1.0,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,田上 将太朗,,,,,,,,,,,,,,,,,,2.0,7.0,3.5,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,日高 拓,,,,,,,,,,,,,,,,,,2.0,8.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,高野内 大輝,,,,,,,,,,,,,,,,,,1.0,11.0,11.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,赤津 裕之,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,0.0,4.0,,,,,,,,,0.0,1.0,inf,0.0,,,,4.0,145.0,36.25,144.0,36.0,,,44.0,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,西山 圭介,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,坂口 進哉,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,畑中 皓貴,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,杉田 直人,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,畑 壮吉,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,弓岡 敬太,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,吉光 太郎,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,詫間 陽介,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,杉山 慶,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,西原 光平,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,石丸 圭吾,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,近藤 光一郎,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,電通キャタピラーズ,dentsu,PentaOceanパイレーツ,pirates,10,10,0,T,,,寺岡 芳樹,,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,高橋 慶行,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,渡辺 寛,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,内藤 徹也,,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0,,,,,,,,,,,,,,,,,,,,,,,3.0,79.0,26.333,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,松本 大生,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,湯浅 直希,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,牛島 卓也,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30944,2022年10月30日 13:30:00,@富士通スタジアム川崎＊下がホームチーム,PentaOceanパイレーツ,pirates,電通キャタピラーズ,dentsu,10,10,0,T,,,古和田 裕己,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
