game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,FUMBLES,FUMBLES_LOST,FF,FR,FR_YDS,FR_TD,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,INT,INT_YDS,INT_TD,INT_LONG,PD,FGA,FGM,FG%,FG_LONG,XPA,XPM,XP%,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,PR,PR_YDS,PR_AVG,PR_TD,PR_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,南竹 司,6.0,13.0,0.4615,86.0,6.615,1,,29.0,,,,4.0,36.0,9.0,0.0,20.0,,,,,,,,1,1,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,高橋 空良,5.0,12.0,0.4167,42.0,3.5,0,,18.0,,,,4.0,24.0,6.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,渡邊 貴信,5.0,11.0,0.4545,48.0,4.364,1,,23.0,,,,4.0,30.0,7.5,0.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,轟木 祐人,0.0,2.0,0.0,0.0,0.0,0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,糟谷 啓二郎,10.0,17.0,0.5882,118.0,6.941,2,,21.0,,,,3.0,22.0,7.333,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,福井 敦英,,,,,,,,,,,,1.0,-13.0,-13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,工藤 良太郎,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,沖塩 将弘,,,,,,,,,,,,1.0,-1.0,-1.0,0.0,0.0,,3.0,38.0,12.666666666666666,1.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,21.0,21.0,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,新妻 知晃,,,,,,,,,,,,5.0,13.0,2.6,0.0,8.0,,1.0,4.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,中台 祐介,,,,,,,,,,,,2.0,31.0,15.5,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,矢島 康希,,,,,,,,,,,,10.0,48.0,4.8,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,清水 大聖,,,,,,,,,,,,4.0,6.0,1.5,0.0,2.0,,1.0,-2.0,-2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,柴田 洋平,,,,,,,,,,,,4.0,11.0,2.75,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,田中 将,,,,,,,,,,,,2.0,12.0,6.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,長尾 健登,,,,,,,,,,,,1.0,-9.0,-9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,162.0,40.5,162.0,40.5,,,51.0,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,羽田 健人,,,,,,,,,,,,8.0,73.0,9.125,0.0,24.0,,1.0,7.0,7.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,70.0,35.0,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,三谷 和也,,,,,,,,,,,,3.0,9.0,3.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,川畑 一輝,,,,,,,,,,,,1.0,-10.0,-10.0,0.0,0.0,,3.0,41.0,13.666666666666666,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,鈴木 瑛二,,,,,,,,,,,,,,,,,,1.0,29.0,29.0,0.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,高橋 広大,,,,,,,,,,,,,,,,,,1.0,18.0,18.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,天田 裕貴,,,,,,,,,,,,,,,,,,2.0,31.0,15.5,0.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,68.0,22.667,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,羽深 新,,,,,,,,,,,,,,,,,,2.0,10.0,5.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,海野 北斗,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,比留間 正純,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,木下 敬士,,,,,,,,,,,,,,,,,,3.0,31.0,10.333333333333334,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,福井 頌平,,,,,,,,,,,,,,,,,,2.0,23.0,11.5,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,清水 宏樹,,,,,,,,,,,,,,,,,,1.0,13.0,13.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,城田 尚輝,,,,,,,,,,,,,,,,,,1.0,12.0,12.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,横山 公則,,,,,,,,,,,,,,,,,,1.0,23.0,23.0,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,アズワンブラックイーグルス,blackeagles,品川CC ブルザイズ,bullseyes,41,14,27,W,,,和田 尚也,,,,,,,,,,,,,,,,,,1.0,8.0,8.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,加藤 良太,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,除川 豪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,高島 茂光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,速見 朋弥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,持田 祥太,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,仙䑓 修,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,玉井 芳昭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,赤星 光太郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,2022年10月02日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,品川CC ブルザイズ,bullseyes,アズワンブラックイーグルス,blackeagles,14,41,-27,L,,,森下 佑哉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
