game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,FUMBLES,FUMBLES_LOST,FF,FR,FR_YDS,FR_TD,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,INT,INT_YDS,INT_TD,INT_LONG,PD,FGA,FGM,FG%,FG_LONG,XPA,XPM,XP%,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,PR,PR_YDS,PR_AVG,PR_TD,PR_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
30930,2022年09月18日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,電通キャタピラーズ,dentsu,名古屋サイクロンズ,nagoya,42,10,32,W,,,Ellis Aaron,18.0,23.0,0.7826,265.0,11.522,3,,74.0,,,,2.0,9.0,4.5,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30930,2022年09月18日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,電通キャタピラーズ,dentsu,名古屋サイクロンズ,nagoya,42,10,32,W,,,河波 正樹,0.0,1.0,0.0,0.0,0.0,0,,0.0,,,,,,,,,,3.0,37.0,12.333333333333334,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30930,2022年09月18日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,名古屋サイクロンズ,nagoya,電通キャタピラーズ,dentsu,10,42,-32,L,,,神谷 壮哉,18.0,39.0,0.4615,218.0,5.59,1,,25.0,,,,5.0,14.0,2.8,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30930,2022年09月18日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,名古屋サイクロンズ,nagoya,電通キャタピラーズ,dentsu,10,42,-32,L,,,海野 暢生,0.0,2.0,0.0,0.0,0.0,0,,0.0,,,,1.0,-3.0,-3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30930,2022年09月18日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,名古屋サイクロンズ,nagoya,電通キャタピラーズ,dentsu,10,42,-32,L,,,橋本 創生,1.0,3.0,0.3333,36.0,12.0,0,,36.0,,,,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30930,2022年09月18日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,電通キャタピラーズ,dentsu,名古屋サイクロンズ,nagoya,42,10,32,W,,,伊藤 宏一郎,,,,,,,,,,,,3.0,25.0,8.333,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30930,2022年09月18日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,電通キャタピラーズ,dentsu,名古屋サイクロンズ,nagoya,42,10,32,W,,,玉田 潤,,,,,,,,,,,,5.0,31.0,6.2,1.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30930,2022年09月18日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,電通キャタピラーズ,dentsu,名古屋サイクロンズ,nagoya,42,10,32,W,,,宇田 慎吾,,,,,,,,,,,,2.0,11.0,5.5,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30930,2022年09月18日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,電通キャタピラーズ,dentsu,名古屋サイクロンズ,nagoya,42,10,32,W,,,遠藤 集,,,,,,,,,,,,11.0,101.0,9.182,1.0,50.0,,2.0,27.0,13.5,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,29.0,14.5,,
30930,2022年09月18日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,名古屋サイクロンズ,nagoya,電通キャタピラーズ,dentsu,10,42,-32,L,,,末吉 孝大,,,,,,,,,,,,1.0,3.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30930,2022年09月18日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,名古屋サイクロンズ,nagoya,電通キャタピラーズ,dentsu,10,42,-32,L,,,水野 信耶,,,,,,,,,,,,3.0,10.0,3.333,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30930,2022年09月18日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,名古屋サイクロンズ,nagoya,電通キャタピラーズ,dentsu,10,42,-32,L,,,畑中 星哉,,,,,,,,,,,,4.0,1.0,0.25,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30930,2022年09月18日 12:00:00,@MKタクシーフィールドエキスポ＊下がホームチーム,名古屋サイクロンズ,nagoya,電通キャタピラーズ,dentsu,10,42,-32,L,,,本政 亮太,,,,,,,,,,,,1.0,7.0,7.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
