game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,INT,INT_YDS,INT_TD,INT_LONG,PD,FGA,FGM,FG%,FG_LONG,XPA,XPM,XP%,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,PR,PR_YDS,PR_AVG,PR_TD,PR_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,スカイラー ハワード,12.0,22.0,0.5455,155.0,7.045,1,,39.0,,,,10.0,16.0,1.6,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,パナソニック インパルス,impulse,オービックシーガルズ,obic,7,14,-7,L,,,山口 知輝,0.0,1.0,0.0,0.0,0.0,0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,パナソニック インパルス,impulse,オービックシーガルズ,obic,7,14,-7,L,,,アンソニー ロウレンス,22.0,36.0,0.6111,201.0,5.583,0,,29.0,,,,6.0,12.0,2.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,李 卓,,,,,,,,,,,,11.0,39.0,3.545,0.0,9.0,,3.0,5.0,1.6666666666666667,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,地村 知樹,,,,,,,,,,,,6.0,45.0,7.5,0.0,13.0,,1.0,15.0,15.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,望月 麻樹,,,,,,,,,,,,4.0,21.0,5.25,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,パナソニック インパルス,impulse,オービックシーガルズ,obic,7,14,-7,L,,,ミッチェル・ビクタージャモー,,,,,,,,,,,,6.0,4.0,0.667,1.0,3.0,,3.0,36.0,12.0,0.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,パナソニック インパルス,impulse,オービックシーガルズ,obic,7,14,-7,L,,,藤本 拓弥,,,,,,,,,,,,4.0,10.0,2.5,0.0,5.0,,3.0,12.0,4.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,池井 勇輝,,,,,,,,,,,,,,,,,,2.0,30.0,15.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,前田 眞郷,,,,,,,,,,,,,,,,,,3.0,56.0,18.666666666666668,1.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,木下 典明,,,,,,,,,,,,,,,,,,2.0,30.0,15.0,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,2.0,73.0,36.5,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,西村 有斗,,,,,,,,,,,,,,,,,,1.0,19.0,19.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,パナソニック インパルス,impulse,オービックシーガルズ,obic,7,14,-7,L,,,岸本 翔平,,,,,,,,,,,,,,,,,,5.0,27.0,5.4,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,パナソニック インパルス,impulse,オービックシーガルズ,obic,7,14,-7,L,,,成田 光希,,,,,,,,,,,,,,,,,,1.0,9.0,9.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,パナソニック インパルス,impulse,オービックシーガルズ,obic,7,14,-7,L,,,ダニエル ワイズ,,,,,,,,,,,,,,,,,,4.0,43.0,10.75,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,13.0,6.5,,,1.0,30.0,30.0,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,パナソニック インパルス,impulse,オービックシーガルズ,obic,7,14,-7,L,,,頓花 達也,,,,,,,,,,,,,,,,,,4.0,58.0,14.5,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,パナソニック インパルス,impulse,オービックシーガルズ,obic,7,14,-7,L,,,木下 統之,,,,,,,,,,,,,,,,,,1.0,12.0,12.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,8.0,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,パナソニック インパルス,impulse,オービックシーガルズ,obic,7,14,-7,L,,,木戸 崇斗,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,砂川 敬三郎,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,久保 颯,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,塚田 昌克,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,岩本 卓也,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,三宅 剛司,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,平澤 徹,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,ブロンソン ビーティー,,,,,,,,,,,,,,,,,,,,,,,,9,,,0,0,,,1,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,田中 雄大,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,山本 泰世,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,仲里 広章,,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,寺田 雄大,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,佐藤 将貴,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,須田 克志,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,オービックシーガルズ,obic,パナソニック インパルス,impulse,14,7,7,W,,,小田原 利之,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2019年10月20日 11:00:00,@万博記念競技場＊下がホームチーム,パナソニック インパルス,impulse,オービックシーガルズ,obic,7,14,-7,L,,,秋山 雅洋,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
