game_id,game_day_time,game_day_location,team,team_abv,opponent,opponent_abv,team_score,opponent_score,score_dif,result,player_num,player_name_en,player_name_jp,COMP,ATT,COMP%,PASS_YDS,PASS_YPA,PASS_TD,PASS_INT,PASS_LONG,SACKED,SACKED_YDS,NFL_QBR,RUSH,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_LONG,TARGETS,REC,REC_YDS,REC_AVG,REC_TD,REC_LONG,CATCH%,FUMBLES,FUMBLES_LOST,FF,FR,FR_YDS,FR_TD,COMB,SOLO,AST,SACKS,SACKS_YDS,TFL,TFL_YDS,FGA,FGM,FG%,FG_LONG,XPA,XPM,XP%,PUNTS,PUNT_GROSS_YDS,PUNT_GROSS_AVG,PUNT_NET_YDS,PUNT_NET_AVG,PUNT_TB,PUNT_IN20,PUNT_LONG,PR,PR_YDS,PR_AVG,PR_TD,PR_LONG,KR,KR_YDS,KR_AVG,KR_TD,KR_LONG
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,パナソニック インパルス,impulse,富士通フロンティアーズ,fujitsu,27,45,-18,L,,,アンソニー ロウレンス,30.0,49.0,0.6122,301.0,6.143,2,,35.0,,,,6.0,13.0,2.167,1.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,富士通フロンティアーズ,fujitsu,パナソニック インパルス,impulse,45,27,18,W,,,マイケル バードソン,20.0,30.0,0.6667,260.0,8.667,3,,39.0,,,,9.0,54.0,6.0,3.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,富士通フロンティアーズ,fujitsu,パナソニック インパルス,impulse,45,27,18,W,,,高木 翼,2.0,3.0,0.6667,13.0,4.333,0,,8.0,,,,2.0,-7.0,-3.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,パナソニック インパルス,impulse,富士通フロンティアーズ,fujitsu,27,45,-18,L,,,ミッチェル・ビクタージャモー,,,,,,,,,,,,11.0,53.0,4.818,1.0,14.0,,3.0,29.0,9.666666666666666,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,57.0,19.0,,
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,パナソニック インパルス,impulse,富士通フロンティアーズ,fujitsu,27,45,-18,L,,,藤本 拓弥,,,,,,,,,,,,3.0,14.0,4.667,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,富士通フロンティアーズ,fujitsu,パナソニック インパルス,impulse,45,27,18,W,,,デレクアキラ ウィリアムス,,,,,,,,,,,,5.0,62.0,12.4,0.0,48.0,,1.0,5.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,富士通フロンティアーズ,fujitsu,パナソニック インパルス,impulse,45,27,18,W,,,サマジー グラント,,,,,,,,,,,,10.0,52.0,5.2,0.0,13.0,,6.0,122.0,20.333333333333332,1.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,富士通フロンティアーズ,fujitsu,パナソニック インパルス,impulse,45,27,18,W,,,金 雄一,,,,,,,,,,,,3.0,11.0,3.667,0.0,11.0,,,,,,,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,2.0,13.0,6.5,,
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,パナソニック インパルス,impulse,富士通フロンティアーズ,fujitsu,27,45,-18,L,,,成田 光希,,,,,,,,,,,,,,,,,,1.0,5.0,5.0,0.0,5.0,,1,1,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,38.0,19.0,,
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,パナソニック インパルス,impulse,富士通フロンティアーズ,fujitsu,27,45,-18,L,,,ダニエル ワイズ,,,,,,,,,,,,,,,,,,8.0,67.0,8.375,0.0,15.0,,1,1,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,0.5,,,2.0,55.0,27.5,,
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,パナソニック インパルス,impulse,富士通フロンティアーズ,fujitsu,27,45,-18,L,,,頓花 達也,,,,,,,,,,,,,,,,,,8.0,113.0,14.125,2.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,24.0,24.0,,
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,パナソニック インパルス,impulse,富士通フロンティアーズ,fujitsu,27,45,-18,L,,,木下 統之,,,,,,,,,,,,,,,,,,3.0,21.0,7.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,パナソニック インパルス,impulse,富士通フロンティアーズ,fujitsu,27,45,-18,L,,,木戸 崇斗,,,,,,,,,,,,,,,,,,4.0,26.0,6.5,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,パナソニック インパルス,impulse,富士通フロンティアーズ,fujitsu,27,45,-18,L,,,小山 泰史,,,,,,,,,,,,,,,,,,3.0,40.0,13.333333333333334,0.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,富士通フロンティアーズ,fujitsu,パナソニック インパルス,impulse,45,27,18,W,,,強 盛,,,,,,,,,,,,,,,,,,1.0,6.0,6.0,0.0,6.0,,,,,,,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,富士通フロンティアーズ,fujitsu,パナソニック インパルス,impulse,45,27,18,W,,,高津佐 隼矢,,,,,,,,,,,,,,,,,,1.0,5.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,11.0,2.2,,,,,,,
146,2019年09月07日 15:00:00,@富士通スタジアム川崎＊下がホームチーム,富士通フロンティアーズ,fujitsu,パナソニック インパルス,impulse,45,27,18,W,,,岩松 慶将,,,,,,,,,,,,,,,,,,2.0,15.0,7.5,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
