game_id,game_status,game_stadium_id,game_stadium_name,away_team_id,away_team_name,home_team_id,home_team_name,home_team_score,away_team_score,season,week_str
28142,試合終了,68,富士通スタジアム川崎,deers,ディアーズ,hel-lions,オール三菱,14,42,2022,春季
28143,試合終了,68,富士通スタジアム川崎,tokyogas,東京ガス,ibm,IBM,30,7,2022,春季
28144,試合終了,68,富士通スタジアム川崎,deers,ディアーズ,fujitsu,富士通,66,0,2022,春季
28145,試合終了,68,富士通スタジアム川崎,hel-lions,オール三菱,tokyogas,東京ガス,37,14,2022,春季
28146,試合終了,68,富士通スタジアム川崎,ibm,IBM,fujitsu,富士通,24,7,2022,春季
30894,試合終了,87,神戸市王子スタジアム,challengers,アサヒ飲料,elecom,エレコム神戸,17,10,2022,秋季1節
30895,試合終了,68,富士通スタジアム川崎,tokyogas,東京ガス,fujitsu,富士通,49,0,2022,秋季1節
30896,試合終了,68,富士通スタジアム川崎,deers,ディアーズ,ibm,IBM,35,10,2022,秋季1節
30897,試合終了,68,富士通スタジアム川崎,silver,アサヒビール,hel-lions,オール三菱,14,24,2022,秋季1節
30898,試合終了,87,神戸市王子スタジアム,rise,ノジマ相模原,impulse,パナソニック,30,10,2022,秋季1節
30899,試合終了,87,神戸市王子スタジアム,obic,オービック,fukuoka-suns,otonari福岡,10,42,2022,秋季1節
30900,試合終了,57,第一カッターフィールド(秋津サッカー場),hel-lions,オール三菱,ibm,IBM,49,35,2022,秋季2節
30901,試合終了,68,富士通スタジアム川崎,fukuoka-suns,otonari福岡,fujitsu,富士通,69,21,2022,秋季2節
30902,試合終了,82,MKタクシーフィールドエキスポ,deers,ディアーズ,impulse,パナソニック,55,7,2022,秋季2節
30903,試合終了,68,富士通スタジアム川崎,silver,アサヒビール,rise,ノジマ相模原,31,21,2022,秋季2節
30904,試合終了,68,富士通スタジアム川崎,challengers,アサヒ飲料,tokyogas,東京ガス,17,19,2022,秋季2節
30905,試合終了,57,第一カッターフィールド(秋津サッカー場),elecom,エレコム神戸,obic,オービック,14,14,2022,秋季2節
30906,試合終了,68,富士通スタジアム川崎,tokyogas,東京ガス,obic,オービック,17,10,2022,秋季3節
30907,試合終了,87,神戸市王子スタジアム,fukuoka-suns,otonari福岡,elecom,エレコム神戸,31,7,2022,秋季3節
30908,試合終了,87,神戸市王子スタジアム,silver,アサヒビール,impulse,パナソニック,68,0,2022,秋季3節
30909,試合終了,87,神戸市王子スタジアム,fujitsu,富士通,challengers,アサヒ飲料,7,40,2022,秋季3節
30910,試合終了,68,富士通スタジアム川崎,rise,ノジマ相模原,ibm,IBM,27,24,2022,秋季3節
30911,試合終了,68,富士通スタジアム川崎,deers,ディアーズ,hel-lions,オール三菱,26,28,2022,秋季3節
30912,試合終了,82,MKタクシーフィールドエキスポ,fujitsu,富士通,elecom,エレコム神戸,7,38,2022,秋季4節
30913,試合終了,82,MKタクシーフィールドエキスポ,hel-lions,オール三菱,impulse,パナソニック,73,0,2022,秋季4節
30914,試合終了,68,富士通スタジアム川崎,deers,ディアーズ,rise,ノジマ相模原,21,6,2022,秋季4節
30915,試合終了,68,富士通スタジアム川崎,silver,アサヒビール,ibm,IBM,28,21,2022,秋季4節
30916,試合終了,83,万博記念競技場,obic,オービック,challengers,アサヒ飲料,17,35,2022,秋季4節
30917,試合終了,83,万博記念競技場,tokyogas,東京ガス,fukuoka-suns,otonari福岡,9,13,2022,秋季4節
30918,試合終了,70,相模原ギオンスタジアム,hel-lions,オール三菱,rise,ノジマ相模原,42,3,2022,秋季5節
30919,試合終了,87,神戸市王子スタジアム,ibm,IBM,impulse,パナソニック,45,14,2022,秋季5節
30920,試合終了,66,横浜スタジアム,elecom,エレコム神戸,tokyogas,東京ガス,17,19,2022,秋季5節
30921,試合終了,66,横浜スタジアム,obic,オービック,fujitsu,富士通,21,18,2022,秋季5節
30922,試合終了,66,横浜スタジアム,deers,ディアーズ,silver,アサヒビール,10,7,2022,秋季5節
30923,試合終了,33402,久留米総合スポーツセンター陸上競技場,challengers,アサヒ飲料,fukuoka-suns,otonari福岡,22,52,2022,秋季5節
34731,試合終了,66,横浜スタジアム,hel-lions,オール三菱,tokyogas,東京ガス,13,7,2022,順位決定戦
34732,試合終了,66,横浜スタジアム,fukuoka-suns,otonari福岡,deers,ディアーズ,41,30,2022,順位決定戦
30953,試合終了,68,富士通スタジアム川崎,dentsu,電通,hel-lions,オール三菱,15,28,2022,入替戦
35243,試合終了,68,富士通スタジアム川崎,pirates,パイレーツ,fukuoka-suns,otonari福岡,14,9,2022,入替戦
34727,試合終了,16246,ヨドコウ桜スタジアム,challengers,アサヒ飲料,impulse,パナソニック,38,28,2022,RBT
34728,試合終了,66,横浜スタジアム,elecom,エレコム神戸,ibm,IBM,25,35,2022,RBT
34729,試合終了,66,横浜スタジアム,silver,アサヒビール,fujitsu,富士通,53,3,2022,RBT
34730,試合終了,66,横浜スタジアム,rise,ノジマ相模原,obic,オービック,21,9,2022,RBT
30954,試合終了,16246,ヨドコウ桜スタジアム,obic,オービック,impulse,パナソニック,30,10,2022,RBT
35259,試合終了,59,東京ドーム,elecom,エレコム神戸,fujitsu,富士通,39,21,2022,RBT
30924,試合終了,59,東京ドーム,fujitsu,富士通,impulse,パナソニック,21,29,2022,ライスボウル
28147,試合終了,68,富士通スタジアム川崎,triax,TRIAX,dentsu,電通,35,17,2022,春季
