game_id,game_status,game_stadium_id,game_stadium_name,away_team_id,away_team_name,home_team_id,home_team_name,home_team_score,away_team_score,season,week_str
9057.0,試合終了,68.0,富士通スタジアム川崎,rise,ノジマ相模原,fujitsu,富士通,48.0,3.0,2020,1節
9059.0,試合終了,68.0,富士通スタジアム川崎,impulse,パナソニック,tokyogas,東京ガス,0.0,38.0,2020,1節
9060.0,試合終了,82.0,MKタクシーフィールドエキスポ,ibm,IBM,elecom,エレコム神戸,35.0,28.0,2020,1節
9061.0,試合終了,68.0,富士通スタジアム川崎,ibm,IBM,fujitsu,富士通,41.0,21.0,2020,2節
9062.0,試合終了,68.0,富士通スタジアム川崎,tokyogas,東京ガス,obic,オービック,60.0,0.0,2020,2節
9064.0,試合終了,82.0,MKタクシーフィールドエキスポ,rise,ノジマ相模原,elecom,エレコム神戸,14.0,17.0,2020,2節
9065.0,試合終了,68.0,富士通スタジアム川崎,impulse,パナソニック,obic,オービック,35.0,34.0,2020,3節
9066.0,試合終了,68.0,富士通スタジアム川崎,elecom,エレコム神戸,fujitsu,富士通,34.0,3.0,2020,3節
9067.0,試合終了,68.0,富士通スタジアム川崎,rise,ノジマ相模原,ibm,IBM,17.0,27.0,2020,3節
9069.0,試合終了,59.0,東京ドーム,obic,オービック,fujitsu,富士通,7.0,13.0,2020,JAPAN X BOWL
9070.0,試合終了,68.0,富士通スタジアム川崎,minervaafc,富士フイルム海老名,silver,アサヒビール,24.0,0.0,2020,交流戦 トーナメント
9788.0,試合終了,87.0,神戸市王子スタジアム,nagoya,名古屋,challengers,アサヒ飲料,38.0,21.0,2020,交流戦 トーナメント
9789.0,試合終了,87.0,神戸市王子スタジアム,blackeagles,アズワン,fukuoka-suns,otonari福岡,34.0,20.0,2020,交流戦 トーナメント
9072.0,試合終了,68.0,富士通スタジアム川崎,bulls,BULLS,deers,ディアーズ,74.0,14.0,2020,交流戦 トーナメント
9073.0,試合終了,68.0,富士通スタジアム川崎,bullseyes,ブルザイズ,dentsu,電通,39.0,10.0,2020,交流戦 トーナメント
9074.0,試合終了,68.0,富士通スタジアム川崎,bulls,BULLS,minervaafc,富士フイルム海老名,14.0,0.0,2020,交流戦 トーナメント
9790.0,試合終了,82.0,MKタクシーフィールドエキスポ,blackeagles,アズワン,nagoya,名古屋,16.0,17.0,2020,交流戦 トーナメント
9791.0,試合終了,82.0,MKタクシーフィールドエキスポ,fukuoka-suns,otonari福岡,challengers,アサヒ飲料,34.0,17.0,2020,交流戦 トーナメント
9076.0,試合終了,68.0,富士通スタジアム川崎,bullseyes,ブルザイズ,silver,アサヒビール,34.0,0.0,2020,交流戦 トーナメント
9077.0,試合終了,68.0,富士通スタジアム川崎,dentsu,電通,deers,ディアーズ,30.0,10.0,2020,交流戦 トーナメント
9078.0,試合終了,68.0,富士通スタジアム川崎,bullseyes,ブルザイズ,minervaafc,富士フイルム海老名,5.0,7.0,2020,交流戦 トーナメント
9079.0,試合終了,68.0,富士通スタジアム川崎,bulls,BULLS,dentsu,電通,28.0,8.0,2020,交流戦 トーナメント
9080.0,試合終了,68.0,富士通スタジアム川崎,deers,ディアーズ,silver,アサヒビール,11.0,17.0,2020,交流戦 トーナメント
9792.0,試合終了,86.0,ヤンマーフィールド長居,blackeagles,アズワン,challengers,アサヒ飲料,27.0,0.0,2020,交流戦 トーナメント
